symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,volume_change_pct
HUMAUSDC,-0.00185,-6.163,0.02875621,0.03006,0.02817,40900947.0,1176156.35113,0.0301,0.0275,15614,Spot Only,-4.8
HUMAUSDT,-0.00182,-6.061,0.02864416,0.03004,0.02821,528337930.0,15133797.51704,0.0301,0.02745,153384,Spot Only,-30.8
API3USDC,-0.0586,-3.826,1.51246646,1.5322,1.473,1245413.51,1883646.156624,1.6,1.4364,13159,Spot Only,349.8
API3USDT,-0.0581,-3.794,1.50694822,1.5311,1.4734,13512962.16,20363334.227036,1.6016,1.4357,142609,Spot Only,67.6
SANTOSUSDT,-0.073,-3.263,2.19824621,2.238,2.164,4019152.48,8835086.70433,2.276,2.126,73521,Spot Only,-0.8
PROMUSDT,-0.296,-3.188,9.00246787,9.282,8.988,448190.53,4034820.84526,9.388,8.694,134033,Spot Only,-40.7
HFTUSDT,-0.0023,-2.605,0.08666938,0.0883,0.086,45126266.6,3911065.66193,0.0904,0.0816,31778,Spot Only,56.7
JUVUSDC,-0.029,-2.031,1.41069484,1.424,1.399,102257.38,144253.95848,1.43,1.381,970,Spot Only,-100.0
ASRUSDT,-0.065,-1.974,3.30811592,3.292,3.227,4320954.2,14294217.3625,3.521,3.163,115845,Spot Only,-83.7
JUVUSDT,-0.026,-1.823,1.40873156,1.428,1.4,2940214.35,4141972.75011,1.432,1.379,27719,Spot Only,-72.2
FORMUSDT,-0.0547,-1.531,3.5549434,3.574,3.5188,943896.5,3355498.63511,3.641,3.4739,80610,Spot Only,7.0
FORMUSDC,-0.0495,-1.387,3.54699688,3.567,3.5199,52624.9,186660.35602,3.6394,3.4667,1139,Spot Only,547.8
SPKUSDC,-0.00074,-1.028,0.07403833,0.07198,0.071236,37931957.0,2808418.756846,0.0775,0.068776,42133,Spot Only,-42.6
SPKUSDT,-0.000702,-0.975,0.07421645,0.071986,0.071291,204246059.0,15158417.304534,0.07754,0.068769,367106,Spot Only,6.5
SOLVFDUSD,-0.00037,-0.828,0.04519427,0.04463,0.04429,4346398.0,196432.29792,0.04654,0.04398,2885,Spot Only,6.8
