symbol,price_change,price_change_percent,weighted_avg_price,prev_close_price,last_price,volume,quote_volume,high_24h,low_24h,count,trading_venue,rvol
CVXUSDC,0.189,4.709,4.17854364,4.034,4.203,40625.914,169757.154493,4.449,3.831,709,Spot Only,3.57
USDPUSDT,0.0001,0.01,0.99994638,1.0001,1.0002,620242.0,620208.7413,1.0004,0.9994,1295,Spot Only,2.58
BBUSDC,0.0254,18.857,0.16201939,0.1347,0.1601,23377281.0,3787572.86638,0.18,0.1314,21717,Spot Only,1.8
KAITOUSDT,0.099,9.201,1.13201058,1.0759,1.175,5930462.5,6713346.27419,1.1955,1.0585,150192,Spot Only,1.22
BBUSDT,0.0256,19.019,0.15885601,0.1346,0.1602,237996574.6,37807185.26811,0.18,0.131,351699,Spot Only,1.13
OPFDUSD,0.0608,8.447,0.76318433,0.7208,0.7806,901748.85,688200.588228,0.8059,0.6882,5826,Spot Only,1.12
JTOFDUSD,0.166,9.315,1.85346615,1.783,1.948,174672.2,323749.0106,1.991,1.678,2353,Spot Only,0.99
HIFIUSDT,0.0009,0.941,0.09539751,0.0957,0.0965,16680176.0,1591247.3236,0.0982,0.0902,25502,Spot Only,0.97
USUALUSDT,0.0087,13.242,0.07170229,0.0657,0.0744,119680732.3,8581383.13025,0.0781,0.0627,73704,Spot Only,0.92
HAEDALUSDT,0.0087,6.982,0.12858413,0.1247,0.1333,17105470.0,2199491.91549,0.1349,0.1186,23155,Spot Only,0.8
JTOUSDC,0.162,9.116,1.84400517,1.777,1.939,623447.8,1149640.966,1.985,1.672,14581,Spot Only,0.79
RLCUSDT,0.052,5.149,1.04954712,1.01,1.062,1900797.0,1994976.0245,1.104,0.953,23252,Spot Only,0.77
ZILUSDT,0.00064,5.575,0.01187241,0.01148,0.01212,277799136.0,3298145.693104,0.0123,0.01106,33375,Spot Only,0.74
USUALUSDC,0.0086,13.07,0.07125939,0.0658,0.0744,13579289.8,967651.85177,0.0781,0.0628,4931,Spot Only,0.66
COSUSDT,0.000183,5.389,0.00350875,0.003397,0.003579,547142487.5,1919784.6446956,0.00365,0.003297,28827,Spot Only,0.64
